iter	Logloss
0	0.6608590352
1	0.6392855673
2	0.6231381352
3	0.6124147894
4	0.6025870816
5	0.5947385912
6	0.5881178726
7	0.5821255469
8	0.5779101765
9	0.5746972132
10	0.5720622365
11	0.5700373592
12	0.5683338047
13	0.5659343835
14	0.5634308255
15	0.5619028185
16	0.5601857188
17	0.5587376768
18	0.5575743481
19	0.5567334904
20	0.554772924
21	0.553558751
22	0.5529661195
23	0.551998244
24	0.5506104145
25	0.5496726475
26	0.5490452973
27	0.5484255548
28	0.5473156089
29	0.5465102844
30	0.5459155821
31	0.5451198133
32	0.5439219269
33	0.5430980373
34	0.5423437332
35	0.5418803299
36	0.5411843053
37	0.5408463378
38	0.5402331872
39	0.5399867336
40	0.5397732172
41	0.5393815364
42	0.5384100147
43	0.5381700723
44	0.5376896908
45	0.5374480207
46	0.5371064843
47	0.5367797588
48	0.5365322166
49	0.5358940665
50	0.53517323
51	0.5349050551
52	0.5345607634
53	0.5343525078
54	0.5340256758
55	0.5336113138
56	0.5333008264
57	0.5330230109
58	0.5327029314
59	0.5324070218
60	0.5322275443
61	0.5319652092
62	0.5317418185
63	0.5311968988
64	0.5309619189
65	0.5306008359
66	0.530144597
67	0.5297569912
68	0.529620446
69	0.5292655443
70	0.5283122059
71	0.5280787085
72	0.5266392933
73	0.5260837044
74	0.525785535
75	0.5255100655
76	0.5252182793
77	0.5250861599
78	0.5247127979
79	0.5243169441
80	0.5239761998
81	0.5233941123
82	0.5228350124
83	0.5226140835
84	0.5220095991
85	0.5213175988
86	0.5208733046
87	0.5203235208
88	0.5199927983
89	0.5194319246
90	0.5188637437
91	0.5181243867
92	0.5177475529
93	0.5169147699
94	0.5163063179
95	0.5155402741
96	0.5145436876
97	0.5137648209
98	0.5133151376
99	0.5126126144
100	0.5121084741
101	0.5116155145
102	0.5106672652
103	0.5101843331
104	0.5095464795
105	0.5089128782
106	0.5082683771
107	0.5078189919
108	0.5069909108
109	0.5065076329
110	0.5060260496
111	0.5049694615
112	0.504371944
113	0.5034485763
114	0.5027032502
115	0.5022138291
116	0.5012502645
117	0.500637692
118	0.5000149891
119	0.4992868888
120	0.4989023443
121	0.4981331217
122	0.4977270157
123	0.4973823472
124	0.497077359
125	0.4964939625
126	0.4959761672
127	0.4953009409
128	0.4948804974
129	0.4942543003
130	0.4936597601
131	0.4931506581
132	0.4924899313
133	0.4920006882
134	0.4913832205
135	0.4908016005
136	0.4902957595
137	0.489853598
138	0.4894697555
139	0.4891916119
140	0.4881098556
141	0.4876297692
142	0.4866359991
143	0.486165175
144	0.4855219067
145	0.4847831021
146	0.4845805188
147	0.4840972645
148	0.4837653904
149	0.4832600968
150	0.4827952642
151	0.4821908619
152	0.481718122
153	0.4810849462
154	0.4807637019
155	0.4804023524
156	0.4799348956
157	0.4793172814
158	0.4788158987
159	0.4782123503
160	0.4778657105
161	0.4776652876
162	0.4772904286
163	0.4767192242
164	0.4762162385
165	0.4755374407
166	0.4749486277
167	0.4738197008
168	0.4733552871
169	0.4730813466
